model,question_id,concept,difficulty,outcome,done_reason,iterations,tool_calls_total,cost_usd,duration_ms,retried
anthropic/claude-opus-4.8,compare-easy-1,compare,easy,pass,complete,2,2,0.100560,11575,false
anthropic/claude-opus-4.8,compare-easy-2,compare,easy,pass,complete,1,0,0.040507,2936,false
anthropic/claude-opus-4.8,compare-easy-3,compare,easy,pass,complete,3,4,0.130617,8845,false
anthropic/claude-opus-4.8,compare-easy-4,compare,easy,pass,complete,3,2,0.097757,9471,false
anthropic/claude-opus-4.8,compare-easy-5,compare,easy,pass,complete,1,0,0.042054,4641,false
anthropic/claude-opus-4.8,compare-easy-6,compare,easy,pass,complete,2,2,0.096050,6205,false
anthropic/claude-opus-4.8,compare-hard-1,compare,hard,pass,complete,3,4,0.207497,22945,false
anthropic/claude-opus-4.8,compare-hard-2,compare,hard,pass,complete,2,2,0.099286,10337,false
anthropic/claude-opus-4.8,compare-hard-3,compare,hard,pass,complete,3,6,0.157605,16394,false
anthropic/claude-opus-4.8,compare-hard-4,compare,hard,pass,complete,2,1,0.095103,9865,false
anthropic/claude-opus-4.8,compare-hard-5,compare,hard,pass,complete,2,2,0.099057,8319,false
anthropic/claude-opus-4.8,compare-hard-6,compare,hard,pass,complete,2,3,0.098840,11797,false
anthropic/claude-opus-4.8,compare-medium-1,compare,medium,pass,complete,3,3,0.139261,9983,false
anthropic/claude-opus-4.8,compare-medium-2,compare,medium,pass,complete,2,3,0.070449,10771,false
anthropic/claude-opus-4.8,compare-medium-3,compare,medium,pass,complete,2,1,0.108289,11676,false
anthropic/claude-opus-4.8,compare-medium-4,compare,medium,pass,complete,4,5,0.159884,13050,false
anthropic/claude-opus-4.8,compare-medium-5,compare,medium,pass,complete,2,2,0.102213,9981,false
anthropic/claude-opus-4.8,qa-easy-1,qa,easy,pass,complete,2,1,0.081936,4052,false
anthropic/claude-opus-4.8,qa-easy-2,qa,easy,pass,complete,3,2,0.139168,7413,false
anthropic/claude-opus-4.8,qa-easy-3,qa,easy,pass,complete,3,3,0.097472,6717,false
anthropic/claude-opus-4.8,qa-easy-4,qa,easy,pass,complete,2,1,0.049226,3924,false
anthropic/claude-opus-4.8,qa-easy-5,qa,easy,pass,complete,3,2,0.128365,5244,false
anthropic/claude-opus-4.8,qa-easy-6,qa,easy,pass,complete,3,2,0.165186,16025,false
anthropic/claude-opus-4.8,qa-hard-1,qa,hard,pass,complete,2,1,0.088996,6754,false
anthropic/claude-opus-4.8,qa-hard-2,qa,hard,pass,complete,4,4,0.140677,22226,false
anthropic/claude-opus-4.8,qa-hard-3,qa,hard,pass,complete,3,2,0.134503,7813,false
anthropic/claude-opus-4.8,qa-hard-4,qa,hard,pass,complete,3,4,0.152858,18085,false
anthropic/claude-opus-4.8,qa-hard-5,qa,hard,pass,complete,3,2,0.100442,8071,false
anthropic/claude-opus-4.8,qa-hard-6,qa,hard,pass,complete,3,2,0.129175,9309,false
anthropic/claude-opus-4.8,qa-medium-1,qa,medium,pass,complete,3,2,0.123774,6815,false
anthropic/claude-opus-4.8,qa-medium-2,qa,medium,pass,complete,3,3,0.159680,8895,false
anthropic/claude-opus-4.8,qa-medium-3,qa,medium,pass,complete,4,3,0.176717,7494,false
anthropic/claude-opus-4.8,qa-medium-4,qa,medium,pass,complete,3,2,0.136421,7216,false
anthropic/claude-opus-4.8,qa-medium-5,qa,medium,pass,complete,2,1,0.081664,3768,false
anthropic/claude-opus-4.8,qa-medium-6,qa,medium,pass,complete,5,6,0.216127,15917,false
anthropic/claude-opus-4.8,search-easy-1,search,easy,pass,complete,2,1,0.089299,5264,false
anthropic/claude-opus-4.8,search-easy-2,search,easy,pass,complete,2,1,0.089305,5603,false
anthropic/claude-opus-4.8,search-easy-3,search,easy,pass,complete,2,1,0.083359,4719,false
anthropic/claude-opus-4.8,search-easy-4,search,easy,pass,complete,3,2,0.096781,7505,false
anthropic/claude-opus-4.8,search-easy-5,search,easy,pass,complete,2,1,0.057005,6083,false
anthropic/claude-opus-4.8,search-easy-6,search,easy,pass,complete,2,1,0.091007,6492,false
anthropic/claude-opus-4.8,search-hard-1,search,hard,pass,complete,2,1,0.098574,9009,false
anthropic/claude-opus-4.8,search-hard-2,search,hard,pass,complete,2,1,0.091168,6072,false
anthropic/claude-opus-4.8,search-hard-3,search,hard,pass,complete,3,2,0.139013,8367,false
anthropic/claude-opus-4.8,search-hard-4,search,hard,pass,complete,3,3,0.198271,16738,false
anthropic/claude-opus-4.8,search-hard-5,search,hard,pass,complete,2,1,0.086552,4862,false
anthropic/claude-opus-4.8,search-hard-6,search,hard,fail,complete,3,2,0.119152,13641,false
anthropic/claude-opus-4.8,search-medium-1,search,medium,pass,complete,2,1,0.084850,5741,false
anthropic/claude-opus-4.8,search-medium-2,search,medium,pass,complete,2,1,0.089571,7723,false
anthropic/claude-opus-4.8,search-medium-3,search,medium,pass,complete,2,1,0.085605,5104,false
anthropic/claude-opus-4.8,search-medium-4,search,medium,pass,complete,2,1,0.091125,7951,false
anthropic/claude-opus-4.8,search-medium-5,search,medium,pass,complete,2,1,0.090951,6632,false
anthropic/claude-opus-4.8,search-medium-6,search,medium,fail,complete,2,1,0.095771,8938,false
anthropic/claude-sonnet-5,compare-easy-1,compare,easy,pass,complete,2,2,0.025257,11182,false
anthropic/claude-sonnet-5,compare-easy-2,compare,easy,pass,complete,2,1,0.023014,9206,false
anthropic/claude-sonnet-5,compare-easy-3,compare,easy,pass,complete,4,5,0.040147,16893,false
anthropic/claude-sonnet-5,compare-easy-4,compare,easy,pass,complete,3,2,0.023315,10947,false
anthropic/claude-sonnet-5,compare-easy-5,compare,easy,pass,complete,1,0,0.016158,3353,false
anthropic/claude-sonnet-5,compare-easy-6,compare,easy,pass,complete,2,2,0.024207,8165,false
anthropic/claude-sonnet-5,compare-hard-1,compare,hard,pass,complete,3,5,0.061625,27157,false
anthropic/claude-sonnet-5,compare-hard-2,compare,hard,pass,complete,3,3,0.037524,17370,false
anthropic/claude-sonnet-5,compare-hard-3,compare,hard,pass,complete,3,6,0.043412,17411,false
anthropic/claude-sonnet-5,compare-hard-4,compare,hard,pass,complete,2,1,0.022977,9640,false
anthropic/claude-sonnet-5,compare-hard-5,compare,hard,pass,complete,2,1,0.021824,8279,false
anthropic/claude-sonnet-5,compare-hard-6,compare,hard,pass,complete,2,3,0.024221,11573,false
anthropic/claude-sonnet-5,compare-medium-1,compare,medium,pass,complete,3,4,0.026945,13447,false
anthropic/claude-sonnet-5,compare-medium-2,compare,medium,pass,complete,2,3,0.026247,14869,false
anthropic/claude-sonnet-5,compare-medium-3,compare,medium,pass,complete,3,2,0.028170,14926,false
anthropic/claude-sonnet-5,compare-medium-4,compare,medium,pass,complete,4,4,0.031081,12806,false
anthropic/claude-sonnet-5,compare-medium-5,compare,medium,pass,complete,2,2,0.026233,13109,false
anthropic/claude-sonnet-5,qa-easy-1,qa,easy,pass,complete,2,1,0.019763,6981,false
anthropic/claude-sonnet-5,qa-easy-2,qa,easy,pass,complete,3,2,0.025600,9947,false
anthropic/claude-sonnet-5,qa-easy-3,qa,easy,pass,complete,4,3,0.027648,12936,false
anthropic/claude-sonnet-5,qa-easy-4,qa,easy,pass,complete,2,1,0.019871,6498,false
anthropic/claude-sonnet-5,qa-easy-5,qa,easy,pass,complete,3,2,0.024536,10490,false
anthropic/claude-sonnet-5,qa-easy-6,qa,easy,pass,complete,2,1,0.019557,7568,false
anthropic/claude-sonnet-5,qa-hard-1,qa,hard,pass,complete,2,1,0.019945,6982,false
anthropic/claude-sonnet-5,qa-hard-2,qa,hard,pass,complete,5,5,0.046759,31902,false
anthropic/claude-sonnet-5,qa-hard-3,qa,hard,pass,complete,3,2,0.025668,10436,false
anthropic/claude-sonnet-5,qa-hard-4,qa,hard,pass,complete,3,4,0.047828,19577,false
anthropic/claude-sonnet-5,qa-hard-5,qa,hard,pass,complete,3,2,0.026109,12223,false
anthropic/claude-sonnet-5,qa-hard-6,qa,hard,pass,complete,3,3,0.032614,11708,false
anthropic/claude-sonnet-5,qa-medium-1,qa,medium,pass,complete,4,3,0.026826,18026,false
anthropic/claude-sonnet-5,qa-medium-2,qa,medium,pass,complete,3,2,0.025540,11626,false
anthropic/claude-sonnet-5,qa-medium-3,qa,medium,pass,complete,4,3,0.027193,13745,false
anthropic/claude-sonnet-5,qa-medium-4,qa,medium,pass,complete,3,2,0.026906,12553,false
anthropic/claude-sonnet-5,qa-medium-5,qa,medium,pass,complete,2,1,0.019184,12169,false
anthropic/claude-sonnet-5,qa-medium-6,qa,medium,pass,complete,4,4,0.032620,21857,false
anthropic/claude-sonnet-5,search-easy-1,search,easy,pass,complete,2,1,0.022225,9549,false
anthropic/claude-sonnet-5,search-easy-2,search,easy,pass,complete,2,1,0.021470,6838,false
anthropic/claude-sonnet-5,search-easy-3,search,easy,pass,complete,2,1,0.019400,10459,false
anthropic/claude-sonnet-5,search-easy-4,search,easy,pass,complete,4,3,0.030029,17690,false
anthropic/claude-sonnet-5,search-easy-5,search,easy,pass,complete,2,1,0.023488,10072,false
anthropic/claude-sonnet-5,search-easy-6,search,easy,pass,complete,2,1,0.023916,11268,false
anthropic/claude-sonnet-5,search-hard-1,search,hard,pass,complete,2,1,0.023061,8931,false
anthropic/claude-sonnet-5,search-hard-2,search,hard,pass,complete,2,1,0.022410,8255,false
anthropic/claude-sonnet-5,search-hard-3,search,hard,pass,complete,3,2,0.028025,12073,false
anthropic/claude-sonnet-5,search-hard-4,search,hard,pass,complete,3,3,0.043332,16249,false
anthropic/claude-sonnet-5,search-hard-5,search,hard,pass,complete,2,1,0.021142,7240,false
anthropic/claude-sonnet-5,search-hard-6,search,hard,fail,complete,4,3,0.041447,21538,false
anthropic/claude-sonnet-5,search-medium-1,search,medium,pass,complete,2,1,0.020664,16442,false
anthropic/claude-sonnet-5,search-medium-2,search,medium,pass,complete,2,1,0.022819,11335,false
anthropic/claude-sonnet-5,search-medium-3,search,medium,pass,complete,2,1,0.020739,8153,false
anthropic/claude-sonnet-5,search-medium-4,search,medium,pass,complete,2,1,0.022730,10940,false
anthropic/claude-sonnet-5,search-medium-5,search,medium,pass,complete,2,1,0.022264,7949,false
anthropic/claude-sonnet-5,search-medium-6,search,medium,pass,complete,2,1,0.023957,14491,false
google/gemini-3-flash-preview,compare-easy-1,compare,easy,pass,complete,2,3,0.010054,10926,false
google/gemini-3-flash-preview,compare-easy-2,compare,easy,pass,complete,3,2,0.007791,7661,false
google/gemini-3-flash-preview,compare-easy-3,compare,easy,pass,complete,3,4,0.009964,7927,false
google/gemini-3-flash-preview,compare-easy-4,compare,easy,pass,complete,7,6,0.019802,17979,false
google/gemini-3-flash-preview,compare-easy-5,compare,easy,pass,complete,2,2,0.005968,8539,false
google/gemini-3-flash-preview,compare-easy-6,compare,easy,pass,complete,3,3,0.009560,8404,false
google/gemini-3-flash-preview,compare-hard-1,compare,hard,pass,complete,4,7,0.019547,25497,false
google/gemini-3-flash-preview,compare-hard-2,compare,hard,pass,complete,3,4,0.009618,8800,false
google/gemini-3-flash-preview,compare-hard-3,compare,hard,pass,complete,9,15,0.034648,41823,false
google/gemini-3-flash-preview,compare-hard-4,compare,hard,pass,complete,2,2,0.008722,10686,false
google/gemini-3-flash-preview,compare-hard-5,compare,hard,pass,complete,2,3,0.008820,9870,false
google/gemini-3-flash-preview,compare-hard-6,compare,hard,pass,complete,3,5,0.009489,9149,false
google/gemini-3-flash-preview,compare-medium-1,compare,medium,pass,complete,5,6,0.013775,11886,false
google/gemini-3-flash-preview,compare-medium-2,compare,medium,pass,complete,3,5,0.014626,17840,false
google/gemini-3-flash-preview,compare-medium-3,compare,medium,pass,complete,6,6,0.019750,18305,false
google/gemini-3-flash-preview,compare-medium-4,compare,medium,pass,complete,3,3,0.008877,6632,false
google/gemini-3-flash-preview,compare-medium-5,compare,medium,pass,complete,3,3,0.010378,9766,false
google/gemini-3-flash-preview,qa-easy-1,qa,easy,pass,complete,2,1,0.004631,3411,false
google/gemini-3-flash-preview,qa-easy-2,qa,easy,pass,complete,4,3,0.012426,9204,false
google/gemini-3-flash-preview,qa-easy-3,qa,easy,pass,complete,4,3,0.010695,9380,false
google/gemini-3-flash-preview,qa-easy-4,qa,easy,pass,complete,2,1,0.004893,4136,false
google/gemini-3-flash-preview,qa-easy-5,qa,easy,pass,complete,3,2,0.007293,5363,false
google/gemini-3-flash-preview,qa-easy-6,qa,easy,pass,complete,5,4,0.015952,15121,false
google/gemini-3-flash-preview,qa-hard-1,qa,hard,pass,complete,4,3,0.012302,12573,false
google/gemini-3-flash-preview,qa-hard-2,qa,hard,fail,max-iterations,10,10,0.028155,25260,false
google/gemini-3-flash-preview,qa-hard-3,qa,hard,pass,complete,2,2,0.006862,8097,false
google/gemini-3-flash-preview,qa-hard-4,qa,hard,pass,complete,10,9,0.029443,24139,false
google/gemini-3-flash-preview,qa-hard-5,qa,hard,pass,complete,3,2,0.007510,6087,false
google/gemini-3-flash-preview,qa-hard-6,qa,hard,pass,complete,3,2,0.009006,7268,false
google/gemini-3-flash-preview,qa-medium-1,qa,medium,fail,max-iterations,10,10,0.027057,20604,false
google/gemini-3-flash-preview,qa-medium-2,qa,medium,pass,complete,3,2,0.008070,6298,false
google/gemini-3-flash-preview,qa-medium-3,qa,medium,pass,complete,6,5,0.014809,10215,false
google/gemini-3-flash-preview,qa-medium-4,qa,medium,pass,complete,3,2,0.008096,6016,false
google/gemini-3-flash-preview,qa-medium-5,qa,medium,pass,complete,3,2,0.007564,6342,false
google/gemini-3-flash-preview,qa-medium-6,qa,medium,pass,complete,8,10,0.027996,29125,false
google/gemini-3-flash-preview,search-easy-1,search,easy,pass,complete,2,1,0.005592,5019,false
google/gemini-3-flash-preview,search-easy-2,search,easy,pass,complete,3,2,0.012120,13409,false
google/gemini-3-flash-preview,search-easy-3,search,easy,pass,complete,4,5,0.012309,10653,false
google/gemini-3-flash-preview,search-easy-4,search,easy,pass,complete,8,7,0.021104,17138,false
google/gemini-3-flash-preview,search-easy-5,search,easy,pass,complete,2,1,0.005699,4731,false
google/gemini-3-flash-preview,search-easy-6,search,easy,pass,complete,2,1,0.005464,4903,false
google/gemini-3-flash-preview,search-hard-1,search,hard,pass,complete,3,2,0.010275,9017,false
google/gemini-3-flash-preview,search-hard-2,search,hard,pass,complete,4,3,0.011724,10627,false
google/gemini-3-flash-preview,search-hard-3,search,hard,pass,complete,4,3,0.014812,13670,false
google/gemini-3-flash-preview,search-hard-4,search,hard,pass,complete,6,5,0.016641,14623,false
google/gemini-3-flash-preview,search-hard-5,search,hard,pass,complete,2,1,0.005184,4362,false
google/gemini-3-flash-preview,search-hard-6,search,hard,pass,complete,2,2,0.007612,7722,false
google/gemini-3-flash-preview,search-medium-1,search,medium,pass,complete,2,1,0.005064,4432,false
google/gemini-3-flash-preview,search-medium-2,search,medium,pass,complete,3,2,0.008377,7078,false
google/gemini-3-flash-preview,search-medium-3,search,medium,pass,complete,2,1,0.005416,5040,false
google/gemini-3-flash-preview,search-medium-4,search,medium,pass,complete,5,4,0.014132,10277,false
google/gemini-3-flash-preview,search-medium-5,search,medium,pass,complete,3,2,0.009177,8505,false
google/gemini-3-flash-preview,search-medium-6,search,medium,pass,complete,2,1,0.006132,6188,false
google/gemini-3.1-flash-lite,compare-easy-1,compare,easy,fail,complete,3,3,0.004691,5999,false
google/gemini-3.1-flash-lite,compare-easy-2,compare,easy,pass,complete,1,0,0.001094,1235,false
google/gemini-3.1-flash-lite,compare-easy-3,compare,easy,pass,complete,3,4,0.004026,3376,false
google/gemini-3.1-flash-lite,compare-easy-4,compare,easy,pass,complete,2,1,0.002115,2443,false
google/gemini-3.1-flash-lite,compare-easy-5,compare,easy,pass,complete,2,2,0.002296,4029,false
google/gemini-3.1-flash-lite,compare-easy-6,compare,easy,pass,complete,2,2,0.002478,2815,false
google/gemini-3.1-flash-lite,compare-hard-1,compare,hard,pass,complete,2,2,0.002423,4524,false
google/gemini-3.1-flash-lite,compare-hard-2,compare,hard,fail,complete,2,2,0.002438,3252,false
google/gemini-3.1-flash-lite,compare-hard-3,compare,hard,pass,complete,3,4,0.004264,8210,false
google/gemini-3.1-flash-lite,compare-hard-4,compare,hard,pass,complete,2,1,0.002344,2870,false
google/gemini-3.1-flash-lite,compare-hard-5,compare,hard,pass,complete,2,3,0.001581,2780,false
google/gemini-3.1-flash-lite,compare-hard-6,compare,hard,pass,complete,2,3,0.002260,5964,false
google/gemini-3.1-flash-lite,compare-medium-1,compare,medium,pass,complete,5,6,0.004002,6676,false
google/gemini-3.1-flash-lite,compare-medium-2,compare,medium,pass,complete,3,4,0.002768,8810,false
google/gemini-3.1-flash-lite,compare-medium-3,compare,medium,pass,complete,3,2,0.004252,5654,false
google/gemini-3.1-flash-lite,compare-medium-4,compare,medium,pass,complete,4,5,0.004517,7315,false
google/gemini-3.1-flash-lite,compare-medium-5,compare,medium,pass,complete,3,3,0.003738,3889,false
google/gemini-3.1-flash-lite,qa-easy-1,qa,easy,pass,complete,3,2,0.003065,2882,false
google/gemini-3.1-flash-lite,qa-easy-2,qa,easy,pass,complete,3,2,0.003368,3237,false
google/gemini-3.1-flash-lite,qa-easy-3,qa,easy,pass,complete,4,3,0.004106,3611,false
google/gemini-3.1-flash-lite,qa-easy-4,qa,easy,fail,complete,2,1,0.001980,1921,false
google/gemini-3.1-flash-lite,qa-easy-5,qa,easy,pass,complete,3,2,0.003079,2771,false
google/gemini-3.1-flash-lite,qa-easy-6,qa,easy,pass,complete,3,2,0.003861,4404,false
google/gemini-3.1-flash-lite,qa-hard-1,qa,hard,fail,complete,2,1,0.002369,2884,false
google/gemini-3.1-flash-lite,qa-hard-2,qa,hard,pass,complete,4,4,0.004351,4060,false
google/gemini-3.1-flash-lite,qa-hard-3,qa,hard,pass,complete,3,2,0.003418,4240,false
google/gemini-3.1-flash-lite,qa-hard-4,qa,hard,pass,complete,4,3,0.003666,4892,false
google/gemini-3.1-flash-lite,qa-hard-5,qa,hard,fail,complete,2,1,0.002636,3658,false
google/gemini-3.1-flash-lite,qa-hard-6,qa,hard,pass,complete,3,2,0.003442,4274,false
google/gemini-3.1-flash-lite,qa-medium-1,qa,medium,pass,complete,3,2,0.002164,2900,false
google/gemini-3.1-flash-lite,qa-medium-2,qa,medium,pass,complete,2,1,0.002431,2874,false
google/gemini-3.1-flash-lite,qa-medium-3,qa,medium,pass,complete,4,3,0.004140,3801,false
google/gemini-3.1-flash-lite,qa-medium-4,qa,medium,pass,complete,3,2,0.003166,2378,false
google/gemini-3.1-flash-lite,qa-medium-5,qa,medium,pass,complete,2,1,0.001920,2474,false
google/gemini-3.1-flash-lite,qa-medium-6,qa,medium,pass,complete,5,4,0.005222,6273,false
google/gemini-3.1-flash-lite,search-easy-1,search,easy,pass,complete,2,1,0.002194,2631,false
google/gemini-3.1-flash-lite,search-easy-2,search,easy,pass,complete,2,1,0.002139,3411,false
google/gemini-3.1-flash-lite,search-easy-3,search,easy,pass,complete,2,1,0.001955,2256,false
google/gemini-3.1-flash-lite,search-easy-4,search,easy,pass,complete,5,4,0.005441,6464,false
google/gemini-3.1-flash-lite,search-easy-5,search,easy,pass,complete,2,1,0.002231,2513,false
google/gemini-3.1-flash-lite,search-easy-6,search,easy,pass,complete,2,1,0.002218,3304,false
google/gemini-3.1-flash-lite,search-hard-1,search,hard,pass,complete,2,1,0.002028,2135,false
google/gemini-3.1-flash-lite,search-hard-2,search,hard,pass,complete,2,1,0.002215,2988,false
google/gemini-3.1-flash-lite,search-hard-3,search,hard,pass,complete,4,3,0.003328,4224,false
google/gemini-3.1-flash-lite,search-hard-4,search,hard,fail,complete,3,2,0.004232,5724,false
google/gemini-3.1-flash-lite,search-hard-5,search,hard,pass,complete,3,2,0.003003,4877,false
google/gemini-3.1-flash-lite,search-hard-6,search,hard,pass,complete,2,1,0.002256,2901,false
google/gemini-3.1-flash-lite,search-medium-1,search,medium,pass,complete,2,1,0.002025,2698,false
google/gemini-3.1-flash-lite,search-medium-2,search,medium,pass,complete,2,1,0.002146,2963,false
